,league,league_level,country,continent,num_operators_day,date,start_time,year,months,rank_week,day,weekday,day_time,freq_weekday_day_time,freq_rank_week_day_time,freq_month_day_time,start_time_interval,GLnum_matches_interval,Totlnum_match_y_m_wd_int,issue
56,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-05,5:30:00 AM,2021,Jun,1,5,Saturday,early morning,10,19,21,4:00 - 5:59,6,10,1
57,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-05,4:00:00 AM,2021,Jun,1,5,Saturday,early morning,10,19,21,4:00 - 5:59,6,10,0
58,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-05,4:00:00 AM,2021,Jun,1,5,Saturday,early morning,10,19,21,4:00 - 5:59,6,10,0
59,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-05,5:30:00 AM,2021,Jun,1,5,Saturday,early morning,10,19,21,4:00 - 5:59,6,10,0
60,New Zealand National League Women,4,New Zealand,Oceania,4,2021-06-27,4:40:00 AM,2021,Jun,4,27,Sunday,early morning,10,2,21,4:00 - 5:59,1,10,0
61,New Zealand National League,4,New Zealand,Oceania,4,2021-06-26,4:45:00 AM,2021,Jun,4,26,Saturday,early morning,10,2,21,4:00 - 5:59,1,10,0
62,New Zealand Provincial Championship Women,4,New Zealand,Oceania,6,2022-06-05,7:00:00 AM,2022,Jun,1,5,Sunday,morning,11,11,10,6:00 - 7:59,2,31,1
63,New Zealand Provincial Championship Women,4,New Zealand,Oceania,6,2022-06-05,7:00:00 AM,2022,Jun,1,5,Sunday,morning,11,11,10,6:00 - 7:59,2,31,0
64,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-06,7:00:00 AM,2021,Jun,1,6,Sunday,morning,11,11,10,6:00 - 7:59,2,35,0
65,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-06,7:00:00 AM,2021,Jun,1,6,Sunday,morning,11,11,10,6:00 - 7:59,2,35,0
66,New Zealand Provincial Championship,4,New Zealand,Oceania,8,2022-06-04,7:00:00 AM,2022,Jun,1,4,Saturday,morning,7,11,10,6:00 - 7:59,1,63,1
67,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-05,7:00:00 AM,2021,Jun,1,5,Saturday,morning,7,11,10,6:00 - 7:59,4,54,0
68,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-05,7:00:00 AM,2021,Jun,1,5,Saturday,morning,7,11,10,6:00 - 7:59,4,54,1
69,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-05,7:00:00 AM,2021,Jun,1,5,Saturday,morning,7,11,10,6:00 - 7:59,4,54,1
70,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-05,7:00:00 AM,2021,Jun,1,5,Saturday,morning,7,11,10,6:00 - 7:59,4,54,0
71,New Zealand National League,4,New Zealand,Oceania,4,2021-06-26,6:45:00 AM,2021,Jun,4,26,Saturday,morning,7,3,10,6:00 - 7:59,1,54,0
72,Ukraine Higher League Women,4,Ukraine,Europe,2,2020-10-04,7:00:00 AM,2020,Oct,1,4,Sunday,morning,11,11,3,6:00 - 7:59,2,28,0
73,Ukraine Higher League Women,4,Ukraine,Europe,2,2020-10-04,7:00:00 AM,2020,Oct,1,4,Sunday,morning,11,11,3,6:00 - 7:59,2,28,0
74,Ukraine Super Liga Women,4,Ukraine,Europe,4,2020-10-10,7:00:00 AM,2020,Oct,2,10,Saturday,morning,7,4,3,6:00 - 7:59,1,49,0
75,Ukraine Higher League Women,4,Ukraine,Europe,3,2021-04-25,7:00:00 AM,2021,Apr,4,25,Sunday,morning,11,3,1,6:00 - 7:59,1,47,0
76,Ukraine Higher League,4,Ukraine,Europe,2,2020-09-27,7:00:00 AM,2020,Sep,4,27,Sunday,morning,11,3,4,6:00 - 7:59,1,17,1
77,Ukraine Cup,4,Ukraine,Europe,3,2020-09-13,7:00:00 AM,2020,Sep,2,13,Sunday,morning,11,4,4,6:00 - 7:59,3,17,0
78,Ukraine Cup,4,Ukraine,Europe,3,2020-09-13,7:00:00 AM,2020,Sep,2,13,Sunday,morning,11,4,4,6:00 - 7:59,3,17,0
79,Ukraine Cup,4,Ukraine,Europe,3,2020-09-13,7:00:00 AM,2020,Sep,2,13,Sunday,morning,11,4,4,6:00 - 7:59,3,17,0
80,New Zealand Provincial Championship Women,4,New Zealand,Oceania,6,2022-06-05,8:00:00 PM,2022,Jun,1,5,Sunday,night,21,77,36,20:00 - 21:59,10,58,1
81,New Zealand Provincial Championship Women,4,New Zealand,Oceania,6,2022-06-05,8:00:00 PM,2022,Jun,1,5,Sunday,night,21,77,36,20:00 - 21:59,10,58,1
82,New Zealand Provincial Championship Women,4,New Zealand,Oceania,6,2022-06-05,9:50:00 PM,2022,Jun,1,5,Sunday,night,21,77,36,20:00 - 21:59,10,58,1
83,New Zealand Provincial Championship U21,4,New Zealand,Oceania,6,2022-06-05,8:00:00 PM,2022,Jun,1,5,Sunday,night,21,77,36,20:00 - 21:59,10,58,0
84,New Zealand Provincial Championship U21,4,New Zealand,Oceania,6,2022-06-05,9:50:00 PM,2022,Jun,1,5,Sunday,night,21,77,36,20:00 - 21:59,10,58,1
85,New Zealand Provincial Championship U21,4,New Zealand,Oceania,6,2022-06-05,9:50:00 PM,2022,Jun,1,5,Sunday,night,21,77,36,20:00 - 21:59,10,58,1
86,New Zealand Provincial Championship Women U21,4,New Zealand,Oceania,6,2022-06-05,8:00:00 PM,2022,Jun,1,5,Sunday,night,21,77,36,20:00 - 21:59,10,58,1
87,New Zealand Provincial Championship Women U21,4,New Zealand,Oceania,6,2022-06-05,8:00:00 PM,2022,Jun,1,5,Sunday,night,21,77,36,20:00 - 21:59,10,58,1
