,match_id,venue_id,league,classification,country,continent,num_operators_day,date,start_time,year,months,rank_week,day,weekday,day_time,freq_weekday_day_time,freq_rank_week_day_time,freq_month_day_time,2h_interval,GLnum_matches_interval,Totalnum_matches_interval,issue
39,33752760,140322,New Zealand National League Women,4,New Zealand,Oceania,4,2021-06-27,2:30:00 AM,2021,Jun,4,27,Sunday,early morning,9,2,21,2:00 - 3:59,6,9,0
40,33752715,140322,New Zealand National League Women,4,New Zealand,Oceania,4,2021-06-26,2:30:00 AM,2021,Jun,4,26,Saturday,early morning,9,2,21,2:00 - 3:59,9,14,0
41,50905485,140413,New Zealand Provincial Championship U21,4,New Zealand,Oceania,13,2022-06-06,4:00:00 AM,2022,Jun,1,6,Monday,early morning,1,19,21,4:00 - 5:59,1,3,1
42,50825190,140387,New Zealand Provincial Championship U21,4,New Zealand,Oceania,6,2022-06-05,5:10:00 AM,2022,Jun,1,5,Sunday,early morning,10,19,21,4:00 - 5:59,3,12,0
43,50878755,140296,New Zealand Provincial Championship,4,New Zealand,Oceania,6,2022-06-05,5:50:00 AM,2022,Jun,1,5,Sunday,early morning,10,19,21,4:00 - 5:59,3,12,1
44,50879220,140335,New Zealand Provincial Championship,4,New Zealand,Oceania,6,2022-06-05,5:50:00 AM,2022,Jun,1,5,Sunday,early morning,10,19,21,4:00 - 5:59,3,12,1
45,33233160,140335,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-06,4:00:00 AM,2021,Jun,1,6,Sunday,early morning,10,19,21,4:00 - 5:59,7,10,0
46,33233175,140309,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-06,4:00:00 AM,2021,Jun,1,6,Sunday,early morning,10,19,21,4:00 - 5:59,7,10,0
47,33233190,140309,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-06,5:30:00 AM,2021,Jun,1,6,Sunday,early morning,10,19,21,4:00 - 5:59,7,10,0
48,33232980,140322,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-06,4:00:00 AM,2021,Jun,1,6,Sunday,early morning,10,19,21,4:00 - 5:59,7,10,0
49,33232995,140296,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-06,4:00:00 AM,2021,Jun,1,6,Sunday,early morning,10,19,21,4:00 - 5:59,7,10,0
50,33233010,140296,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-06,5:30:00 AM,2021,Jun,1,6,Sunday,early morning,10,19,21,4:00 - 5:59,7,10,0
51,50635560,140413,New Zealand Provincial Championship U21,4,New Zealand,Oceania,8,2022-06-04,5:10:00 AM,2022,Jun,1,4,Saturday,early morning,10,19,21,4:00 - 5:59,3,26,0
52,50565675,140322,New Zealand Provincial Championship,4,New Zealand,Oceania,8,2022-06-04,5:10:00 AM,2022,Jun,1,4,Saturday,early morning,10,19,21,4:00 - 5:59,3,26,0
53,50565735,140335,New Zealand Provincial Championship,4,New Zealand,Oceania,8,2022-06-04,5:50:00 AM,2022,Jun,1,4,Saturday,early morning,10,19,21,4:00 - 5:59,3,26,0
54,33175020,140322,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-05,4:00:00 AM,2021,Jun,1,5,Saturday,early morning,10,19,21,4:00 - 5:59,8,10,0
55,33175155,140296,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-05,4:00:00 AM,2021,Jun,1,5,Saturday,early morning,10,19,21,4:00 - 5:59,8,10,0
56,33175170,140296,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-05,5:30:00 AM,2021,Jun,1,5,Saturday,early morning,10,19,21,4:00 - 5:59,8,10,1
57,33170520,140335,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-05,4:00:00 AM,2021,Jun,1,5,Saturday,early morning,10,19,21,4:00 - 5:59,8,10,0
58,33169845,140309,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-05,4:00:00 AM,2021,Jun,1,5,Saturday,early morning,10,19,21,4:00 - 5:59,8,10,0
59,33174150,140309,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-05,5:30:00 AM,2021,Jun,1,5,Saturday,early morning,10,19,21,4:00 - 5:59,8,10,0
60,33752775,140322,New Zealand National League Women,4,New Zealand,Oceania,4,2021-06-27,4:40:00 AM,2021,Jun,4,27,Sunday,early morning,10,2,21,4:00 - 5:59,7,10,0
61,33751575,140322,New Zealand National League,4,New Zealand,Oceania,4,2021-06-26,4:45:00 AM,2021,Jun,4,26,Saturday,early morning,10,2,21,4:00 - 5:59,8,10,0
62,50882415,140322,New Zealand Provincial Championship Women,4,New Zealand,Oceania,6,2022-06-05,7:00:00 AM,2022,Jun,1,5,Sunday,morning,11,11,10,6:00 - 7:59,2,31,1
63,50878980,140309,New Zealand Provincial Championship Women,4,New Zealand,Oceania,6,2022-06-05,7:00:00 AM,2022,Jun,1,5,Sunday,morning,11,11,10,6:00 - 7:59,2,31,0
64,33233205,140309,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-06,7:00:00 AM,2021,Jun,1,6,Sunday,morning,11,11,10,6:00 - 7:59,2,35,0
65,33233025,140296,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-06,7:00:00 AM,2021,Jun,1,6,Sunday,morning,11,11,10,6:00 - 7:59,2,35,0
66,50565690,140322,New Zealand Provincial Championship,4,New Zealand,Oceania,8,2022-06-04,7:00:00 AM,2022,Jun,1,4,Saturday,morning,7,11,10,6:00 - 7:59,1,63,1
67,33174960,140322,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-05,7:00:00 AM,2021,Jun,1,5,Saturday,morning,7,11,10,6:00 - 7:59,5,54,0
68,33175185,140335,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-05,7:00:00 AM,2021,Jun,1,5,Saturday,morning,7,11,10,6:00 - 7:59,5,54,1
69,33174165,140309,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-05,7:00:00 AM,2021,Jun,1,5,Saturday,morning,7,11,10,6:00 - 7:59,5,54,1
70,33169860,140335,New Zealand Provincial Championship,4,New Zealand,Oceania,4,2021-06-05,7:00:00 AM,2021,Jun,1,5,Saturday,morning,7,11,10,6:00 - 7:59,5,54,0
71,33751590,140322,New Zealand National League,4,New Zealand,Oceania,4,2021-06-26,6:45:00 AM,2021,Jun,4,26,Saturday,morning,7,3,10,6:00 - 7:59,5,54,0
72,22771260,131482,Ukraine Higher League Women,4,Ukraine,Europe,2,2020-10-04,7:00:00 AM,2020,Oct,1,4,Sunday,morning,11,11,3,6:00 - 7:59,2,28,0
73,22771275,131014,Ukraine Higher League Women,4,Ukraine,Europe,2,2020-10-04,7:00:00 AM,2020,Oct,1,4,Sunday,morning,11,11,3,6:00 - 7:59,2,28,0
74,21300930,131027,Ukraine Super Liga Women,4,Ukraine,Europe,4,2020-10-10,7:00:00 AM,2020,Oct,2,10,Saturday,morning,7,4,3,6:00 - 7:59,2,49,0
75,31183335,130949,Ukraine Higher League Women,4,Ukraine,Europe,3,2021-04-25,7:00:00 AM,2021,Apr,4,25,Sunday,morning,11,3,1,6:00 - 7:59,2,47,0
76,22389060,131001,Ukraine Higher League,4,Ukraine,Europe,2,2020-09-27,7:00:00 AM,2020,Sep,4,27,Sunday,morning,11,3,4,6:00 - 7:59,4,17,1
77,21552915,1,Ukraine Cup,4,Ukraine,Europe,3,2020-09-13,7:00:00 AM,2020,Sep,2,13,Sunday,morning,11,4,4,6:00 - 7:59,4,17,0
78,21617145,131287,Ukraine Cup,4,Ukraine,Europe,3,2020-09-13,7:00:00 AM,2020,Sep,2,13,Sunday,morning,11,4,4,6:00 - 7:59,4,17,0
79,21356565,1,Ukraine Cup,4,Ukraine,Europe,3,2020-09-13,7:00:00 AM,2020,Sep,2,13,Sunday,morning,11,4,4,6:00 - 7:59,4,17,0
80,50883195,140322,New Zealand Provincial Championship Women,4,New Zealand,Oceania,6,2022-06-05,8:00:00 PM,2022,Jun,1,5,Sunday,night,21,77,36,20:00 - 21:59,10,58,1
81,50883210,140309,New Zealand Provincial Championship Women,4,New Zealand,Oceania,6,2022-06-05,8:00:00 PM,2022,Jun,1,5,Sunday,night,21,77,36,20:00 - 21:59,10,58,1
82,50900670,140309,New Zealand Provincial Championship Women,4,New Zealand,Oceania,6,2022-06-05,9:50:00 PM,2022,Jun,1,5,Sunday,night,21,77,36,20:00 - 21:59,10,58,1
83,50635665,140413,New Zealand Provincial Championship U21,4,New Zealand,Oceania,6,2022-06-05,8:00:00 PM,2022,Jun,1,5,Sunday,night,21,77,36,20:00 - 21:59,10,58,0
84,50635680,140413,New Zealand Provincial Championship U21,4,New Zealand,Oceania,6,2022-06-05,9:50:00 PM,2022,Jun,1,5,Sunday,night,21,77,36,20:00 - 21:59,10,58,1
85,50635695,140387,New Zealand Provincial Championship U21,4,New Zealand,Oceania,6,2022-06-05,9:50:00 PM,2022,Jun,1,5,Sunday,night,21,77,36,20:00 - 21:59,10,58,1
86,50891505,140387,New Zealand Provincial Championship Women U21,4,New Zealand,Oceania,6,2022-06-05,8:00:00 PM,2022,Jun,1,5,Sunday,night,21,77,36,20:00 - 21:59,10,58,1
87,50891490,140296,New Zealand Provincial Championship Women U21,4,New Zealand,Oceania,6,2022-06-05,8:00:00 PM,2022,Jun,1,5,Sunday,night,21,77,36,20:00 - 21:59,10,58,1
88,50892330,140335,New Zealand Provincial Championship,4,New Zealand,Oceania,6,2022-06-05,9:30:00 PM,2022,Jun,1,5,Sunday,night,21,77,36,20:00 - 21:59,10,58,1
89,50892315,140322,New Zealand Provincial Championship,4,New Zealand,Oceania,6,2022-06-05,9:50:00 PM,2022,Jun,1,5,Sunday,night,21,77,36,20:00 - 21:59,10,58,0
90,33256665,140296,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-06,8:00:00 PM,2021,Jun,1,6,Sunday,night,21,77,36,20:00 - 21:59,7,29,0
91,33256680,140322,New Zealand Provincial Championship Women,4,New Zealand,Oceania,4,2021-06-06,9:30:00 PM,2021,Jun,1,6,Sunday,night,21,77,36,20:00 - 21:59,7,29,1
